"
  Tasks: to do list & tasks","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu9EN9MMMO0FPZwE86IjcUgVzoBzIW5t__KmDyhbXO8=s32-rw","Guenevere Miller","Show review history","November 5, 2022","Incredible app! 9/10 times when I've thought ""Oh, this would be a convient setting/option,"" I've checked settings or the ""help"" and found it was an option! There are two things that I would suggest: 1. Making the calendar available as a widget. 2. Making it so that you can schedule a time that a task ""activates""/shows up on your list. Maybe with a toggle for showing future tasks, like how you can select whether or not to show completed tasks. This would be good for reoccurring tasks especially.","22 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu96YDSk8XnaxTbg9nMLkHB3yJkglKDIFJpBJrA2Xg=s32-rw","Kathryn Carter","Show review history","November 3, 2022","This task app is as close to perfect as I've seen. Through the use of multiple tags and filtered lists you can use Getting Things Done AND the Eisenhower Matrix, and probably most other systems you like. You can make your entries complex enough to cover all the details, and finding and sorting your material is simple and fast. I am impressed by the flexibility. There are training videos too!","13 people found this review helpful","Pocket Brilliance Limited","November 4, 2022","Hi Kathryn, so nice to hear how my little app is helping you. Tasks is a community driven hobby project of mine. It's great to hear all the time and effort writing, supporting and improving Tasks in my spare time is worthwhile. Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu8vfkdwvu1hsI84di50E_mr7RMq2h9c1ZdPQhYp=s32-rw","Bonnie H","Show review history","November 4, 2022","This app is brilliant for getting organized. Color coding and sub lists are great for making things less overwhelming. Sorting by age helps keep things from falling down the cracks. Customized notification times/dates make this great for chores as well as to do lists. The new snooze change works well with holidays. This app is helping in big ways. Thanks!","65 people found this review helpful","Pocket Brilliance Limited","November 4, 2022","Hi Bonnie, really glad that in some small way my app is helping you. Thank you for your support, I really appreciate it. Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu_DOKd2xtdLhDa1qjuIVyHW9tV5CiSe24UTk8NbWA=s32-rw","Ash Brah","","November 18, 2022","I've really been loving this app. I would have given it 5 stars if I was able to share my lists with my boyfriend so he could check the items off on his phone whenever I sent him to the store. It does let me share the lists with him and send it to him in a SMS message BUT it doesn't look like it does on the app and you can't check the items off like you can in the actual app. I heard that if we were paying for this app that it offers that feature. Not totally sure though. Regardless, great app!","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu21IRzIIoaEkQrZNEVYpeGSX9hx16ZW1fe7HOHs=s32-rw-mo","patrick grady","Show review history","November 17, 2022","Felt compelled to leave a review because this app is exactly what I was looking for, thanks! Update after a few months: I'm not sure I've ever reviewed something twice unprompted, but honestly, I'm impressed with how intuitive and full-featured this is - whenever I want to do something more complex with my lists, the option to do so is basically always in the first place I think to check. It's really gratifying that these things were already thought of and implemented.","","Pocket Brilliance Limited","May 30, 2022","You're welcome Patrick, thank you so much for supporting for my little app. Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu9tlmuF3nXT2eYsZ9JDF0jCkv7a1OeORUJSvtF-Tw=s32-rw","Ryan King","Show review history","October 29, 2022","I really like this app, it's intelligently designed, extremely useful & has no ads! Being able to set alarms for tasks instead of notifications means I never miss appointments anymore and is invaluable! I wanted to support the developer, but damn the subscription cost and one time fee are high. Half the price and I would consider buying the lifetime licence, a quarter of the cost and I would have bought without even thinking about it, but the current price is just too expensive for me.","6 people found this review helpful","Pocket Brilliance Limited","October 29, 2022","Hi Ryan, thanks you so much for your support for my little app. Lifetime does mean forever. Unfortunately servers, storage etc. around the world are expensive. Google takes 30% of any transaction + taxes etc. In reality I can already lose money on the lifetime option. There are cheaper payment options or a donation (main menu). Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu_O4kMaBPuoODTCwDKCvf0EnXCVmQRHuv0IjJKniQ=s32-rw","Lacey Richmond","","October 29, 2022","Highly recommend this app. Between ADHD, short term memory damage, and just a busy hectic lifestyle I'm constantly struggling to stay organized. I have tried so many different apps for organizing, reminding, developing routines, and most are either too simple to be much help or so over complicated that it just adds to the chaos. This app however is very streamline and easy to navigate and customize.","16 people found this review helpful","Pocket Brilliance Limited","November 2, 2022","Hi Lacey, so nice to hear how my little app is helping you. It really makes all the time and effort writing, supporting and improving Tasks worthwhile. Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu-TiAS0zEL3tv_N7c438cFOY3QNwjtKxzJ9GeLKNog=s32-rw","Ayla","","October 29, 2022","Liked the app. Reordering and allignment of tasks in the list can be improved. Currently you can only move them to the top and bottom of the list. But for sorting the tasks based on their priority it is not enough. Moving them as you see it it fit by pressing on them would be a good feature. Thank you for taking it into consideration.","2 people found this review helpful","Pocket Brilliance Limited","October 29, 2022","Hi Ayla, this is already possible. Simply use the drag handles (dots on the right) to drag tasks. If you need more help check out the Help button (main menu) or just email me. I hope you can show your full support for my ad free, hobby project. Stars are free after all. Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Axy23PAgjmvYNulNIlhXuv4JqgGk1vfF6OWf-=s32-rw","Despair Embodied","Show review history","October 26, 2022","App seems neat and clean but not being able to share it unless the other persons also paying a subscription seems a bit rough as I'm already paying for the app myself and just wanted to be able to share a list or two. Would recommend at least making that information easier to find. Maybe it's available somewhere but I checked as carefully as I could and only found out when I shared the link. If there was some kind of family plan style cost where the main user covers costs it wouldn't be so bad.","3 people found this review helpful","Pocket Brilliance Limited","October 26, 2022","I don't hide the info. It's linked from the main Tasks website page: https://mytasksapp.com/help/shared-list It is also available from the info icon (?) (top right) on the shared list screen in Tasks. I'll add a family plan to my list for future improvements. I hope you can show your full support. Stars are free after all and it really helps.Cheers"
"https://play-lh.googleusercontent.com/a-/ACNPEu-g8NGrXihGsmtdUotx8UPG9vfLBJKBewdsrmN5U4c=s32-rw","Dani Long","","October 24, 2022","How i use/why i love this app: 1. No paper lists to lose track of AND there's web based interface!!! 2. I'm better able to get the right job done at the right time b/c I sort & prioritize tasks and subtasks 3. I use color to help organize associated lists/ themes; set alarms/notifications for time-critical tasks; add detailed notes when necessary or helpful; 4. I can make any given list as detailed and complex or as simple and straightforward as meritted by the jobs/tasks it covers","5 people found this review helpful","Pocket Brilliance Limited","October 29, 2022","Wow! Thank you so much Dani for your wonderful feedback and support for my little app. Great to hear how all the features are helping you. It really makes all the time and effort writing, supporting and improving Tasks worthwhile. Cheers, Steve"
"https://play-lh.googleusercontent.com/a-/ACNPEu-b6GkkJH8jA0WigzKvsn7lN88wJeW9Gm8cJy-JEg=s32-rw","Jessica","","November 5, 2022","Useful life tool! I made a ""daily to do list"" list and sub-listed each day of this month and add things to my week as I have time. If I don't get to them, into the next day or goes but it's so satisfying checking things off. I made a widget on my home screen and it's easy to swap out each day right from your home screen. Keeps me very organized. So glad I found this!","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2v3iTuYJ8SUCLUmpimQaL7ml6OeBdAm5aZrT0t=s32-rw-mo","Sol Vir","Show review history","November 13, 2022","This app is easy to use, the organizational breakdown is perfect. The subtasks come in handy. It's all there to keep you on top of things. The rest is up to you. I do have a request, could you offer more alarm choices? Never mind! 😳There are more alarm choices in Settings.","","","",""
