"
  Time Planner: Schedule & Tasks","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu_-cTIk3Cxqd2ugm_dOeG5As0Bw3Tjl9zDJK8T1HT8=s32-rw","Olivia Gil","Show review history","July 8, 2022","Beautiful app, I was so amazed by it. Not only can I schedule the smallest events and tasks possible, but I can track them too and I bet I can do much more which I'm yet to learn, because this app is filled with functions. Not only that, it's highly customisable and I've never seen an app like this before. I'm just really impressed by it! I love that there is absolutely no ads either, but I'm still going to buy the pro version to support the developers :)","68 people found this review helpful","Oleksandr Albul","July 10, 2022","Thank you very much Olivia! Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8KM6lz2yTVC7DKcmt5XoUtqvmvycAgupij72nTPA=s32-rw","Rajam A","","November 14, 2022","The app is amazing, and really useful. The calendar view is especially convenient! But it will be even better if we were able to add deadlines for each task as well and have it show up on the calendar. Otherwise I'm having to use both MS tasks for deadlines and this app for keeping track of my tasks. Please include this! It will be incredibly helpful.","2 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0rpz1pHEEsoWQoeXSBO_JhUMm-TNXGTgac2wJb=s32-rw-mo","Aditi Dumbre","","June 18, 2022","This app is so awesome. Clearly helps to plan things. Best part is about statistics, you get very clear picture through statistics. You might find the app overwhelming at beginning, but thanks to tutorials, things become easy! Keep it up guys..this app is helping alot. Tip- You can add more views to statistics like line graphs, bar charts along with the pie chart that u currently have to get better idea of how u have spent days in a day, month or year.","48 people found this review helpful","Oleksandr Albul","June 19, 2022","Thank you Aditi! Hope I will add those one day. Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_lgTUP2dyWO6OBX8sn_HwIu_ZNxjAqIwAbVS95aw=s32-rw","Shiny Lohani","","June 13, 2020","It is really nice. It helps me set reminders and schedule activities. Initially I faced difficult in accessing the interface... But after watching YouTube videos ... I was able to use it properly. I would suggest you to incorporate a tutorial video within the app so that it becomes easy for people to understand the interface. Great job team. It is an amazing app.","156 people found this review helpful","Oleksandr Albul","June 16, 2020","Thanks a lot Shiny! Glad you've figured it out )"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","October 11, 2019","Brilliant! The App hits a sweet spot between the freedom of a paper journal/diary and the neatness of automation/electronic medium. The layout & structure should be intuitive for most. Am sure some minor tweaks over time will help fine tune it. A short learning curve allowed me to hit the ground running. The YouTube video tutorials were a breeze. Am glad to have found something which doesn't force me to choose Event or Task in the unrealistic bipolar world of 'Calendars'. 👍🏻","72 people found this review helpful","Oleksandr Albul","October 15, 2019","Thank you very much for your warm words! Have an effective planning 😉"
"https://play-lh.googleusercontent.com/a-/ACNPEu95PnWW7zILWWGfRavNuscj2SwJuKHbnS382u4KrA=s32-rw","Neha S","","June 14, 2021","I love this app wholeheartedly. I started using it when the new school year began and I don't know where I would have been without it. It's very customisable, almost like a sandbox but for planning. Setting up different categories helped me keep a list of things to be done in a week and then further break it down into manageable daily tasks with other categories. Honestly my productivity has shot up more than 100% because I'm able to effectively plan my day keeping time in mind. Love the app!","90 people found this review helpful","Oleksandr Albul","June 15, 2021","Thank you Neha! Have a great time planning!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_p_tkRcX6oU3pSsebOTDz3DRNtvMO7l8G8_0FE-Q=s32-rw","RIDDHI -","Show review history","April 24, 2021","I am a student and I'm using this app to manage my study goals. Overall the app is very good but the reminder function just doesn't work. Other parts of the app are quite commendable and it is easy to work with. Edit: Thanks for your reply. I have checked my settings and allowed notifications from the app. Also I'm not actively using any battery saving app. Still the reminders work only half of the times I set them. Pls help me with fixing this issue.","5 people found this review helpful","Oleksandr Albul","April 26, 2021","Thanks Riddhi! You can make reminders work, by going to your system settings - Notifications - Time Planner - Allow. Also that might be an issue with your battery saving app (if any).

UPD Thanks for letting me know! Have you looked in another restrictive section of system settings? Optimization -> Time Planner -> Do not optimize."
"https://play-lh.googleusercontent.com/a/ALm5wu1MFDRInS2x_tPGPYnffvon55XHxOuN_-NSFeFj=s32-rw-mo","Jepril Peña","Show review history","September 18, 2022","Its flexibility is its edge among others. The alarm for the scheduled task do not work a lot of the time (maybe this happens when app is closed in the background). Additional cliparts and icons can still also be added. Nonetheless, still great. Update: Bought lifetime premium. Having a widget that shows you the list of tasks for today is huge (also being able to easily mark it). Ability to pre-save filters in the calendar view so we can switch from different sets (repeating habits, events etc.)","15 people found this review helpful","Oleksandr Albul","September 19, 2022","Thank you Jepril! Sure, there is much to be improved ) As for the alarm, please check your system settings -> Notifications section -> Time Planner -> Allow. And another section Optimization -> Time Planner -> Do not optimize. Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8NOR8et7r_jM0pC6AdRl_3aKTzRXzrR_8fMIPGgg=s32-rw","Rushad Faridi","","October 9, 2022","Only reason I did not give 5 star to this excellent app is tagging seems to be quite cumbersome. The tags remain visible in front of the task which is kind of weird. Another feature I would love to have is putting journal entry under scheduled activities. That way I can record my progress in finishing an activity. Any way, even after lacking these features, this app is awesome with great UI, pleasing color themes. Hats off to the developer!","5 people found this review helpful","Oleksandr Albul","October 11, 2022","Thank you Rushad! Tags are not another categories, but can be embedded in a task text, like ""Get a #movie ticket"", or put in the end. Also, you can add a note to a scheduled activity as a journal entry. Please stand with my Ukraine!"
"https://play-lh.googleusercontent.com/a/ALm5wu2gEIfSRcFjATfoNFCg4ttHILxYeyvJHNn1QvTJlA=s32-rw-mo","Rizki Rama","Show review history","October 21, 2022","Seriously, this Time Planner app is really great. But, hey I have a problem with the stopwatch. It would be cool if the app is not calculating the time with its stopwatch. Instead, why you not read the time passed from the device system time. This could be reduced the amount of resources needed. The app also should not needed to run in the background right?. I want to know if this could be implemented.","5 people found this review helpful","Oleksandr Albul","October 28, 2022","Rizki, actually that's the way the app works, using the device system time ) Metronome is needed so people can see the time running out. If you do not like that, please set the setting ""Refresh time"" for 10 minutes or so. And if the time count is running, the app needs to run on background. Please stand with my Ukraine!"
