"
  To Do List with Reminder","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","December 5, 2019","Because of you respond to the rating, it means you love your product. So I've to detail about it. I've used other app, but this one very strategic, effective, simple and moreover very easy to use. If you don't want a widget in your home screen, you can simply access it in the notification panel, and that's very thoughtful. Add some more features like coloured region, small popup icon reminder, different widgets. Thank you for the minimum ads.","109 people found this review helpful","tact","December 5, 2019","Hello sajeesh,you're welcome, thank you so much for fantastic feedback, about your suggestions, I just added it on the next version of this app,its currently on beta, and it will be released soon, best regards"
"https://play-lh.googleusercontent.com/a-/ACNPEu9fzRXkthb68Ilj_eIDWqFCKQao_OTkeUHOUO0AdMw=s32-rw","rituraj gogoi","","March 25, 2021","Unable to change the default alarm ringtone!! The UI of the app is neat and it seems to be able to do what it's created for. But there is a bug as I am unable to change the default ringtone as the app keeps crashing when I go to change it. Nor is there a way to switch off the alarm for normal tasks. Pls fix this so that I can rate it on the basis of its features. Thanks in advance","24 people found this review helpful","tact","March 30, 2021","Hi rituraj, Ok, I'll check it. By the way, you can switch alarm on or off when adding the task by clicking the bell icon beside the time clock. Thanks for your feedback."
"https://play-lh.googleusercontent.com/a-/ACNPEu9FK6WEfOozuHxqJMU2K1MREaSBD4unZme3b9MC31s=s32-rw","Chitranshu Vashishth","Show review history","June 19, 2022","Love the app. One request. Please allow to sort the lists in custom drag and drop fashion. Alphabetical and date created isn't what I need most of the times. Apart from that, amazing app. If you want to monetize it at less than $2 one time fee by removing ads. That would be great. Rest all perfect","25 people found this review helpful","tact","July 15, 2022","Hello Chitranshu, thanks so much for your valuable feedback, and I'll take your suggestions into consideration."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","January 21, 2019","Wow! This is THE BEST one out of all (reminder app) for me. At first, it's super easy to use. Then it has all important features that are required. Thirdly, it offers flexibility and customization. The look & feel of the app is superb. Took me just a minute to know and understand all the features.","35 people found this review helpful","tact","February 25, 2019","Hello, I'm so glad you liked my app,Thank you so much for the great feedback ."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","October 4, 2018","The widget if awesome! Specially the transparent work! Other features is also good with back up option. I don't like setting of times and ringtone. I am unable to set a multiple alarm for a single events( for day to day study reminder!) Give us a feature for strictly stick on homepage ( just like morning alarm will not going stop untill you tickmark, solve puzzle, easy maths or anything!)","20 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","April 26, 2020","After installing and uninstalling atleast 8-10 reminder apps, finally I found the perfect one! Whew! This app has everything one desires. It reminds even when the phone is locked (most other apps do not). Has all the desired features:- One tap dismissal of notifications, choosing whether to repeat the alarm or not, choosing of alarm ringtone etc.","14 people found this review helpful","tact","April 28, 2020","Hello,really glad you liked my app, thank you for such delightful feedback, happy organizing  :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu83l0Eq8pallftTufeF1V4PSD83PwByvOZitMmRjg=s32-rw","Michael Berkery","","October 23, 2022","This app is quite good and has a lot of the features that other similar to-do list apps require you to pay for this one's free. However I do have a few requests for them to do. The settings options is fairly limited I'd like to see it expand. Colors are allowed for various listings and whatnot however I'm unable to change the color. There are other settings I'd like the option of however I'm running out of space in this review","4 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","March 16, 2019","I found my favorite check list! I tried a lot of check list over a few days. This one is simple and gets the job done. There are ads but they are at the bottom and out of the way. There is a ""quick add"" button or you can put a lot more detail about an item that is entered.I like the reminders. I like that you can put specific times for items. My wish is that it could show ""All Lists but Shopping"" since I consider my ""to dos"" seperate from that my shopping. Would write more but don't have space!","110 people found this review helpful","tact","March 16, 2019","Hello Elisabeth, I am really glad you liked my app, and I will take your note in account, thank you very much for all your wonderful words."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","November 23, 2019","Great app. I really like how the recurring tasks feature is free. I've downloaded lots of apps trying to find one where I wouldnt need to have a monthly subscription. The repeat option was kind of hard to find at first, because I didn't set a reminder. If you don't set a reminder, you cannot repeat the task at all. Maybe I'm just tired though. It isnt a big deal. I think a ""Help"" page which shows you how to access features step by step would be really useful! Overall, great so far! Thanks!","18 people found this review helpful","tact","November 25, 2019","Hello Zehra, really glad you liked my app, many thanks for great feedback, and I'll take your note on account"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","March 8, 2019","Finally, I have found my Task app!!! I have been looking for years! Very clean design. I was able to color code tasks (home, anywhere calls, and out and about), then I can search on any word such as ""call"". And on the left side I can select the type of task (home), then on the right side I can select the time frame due. I would like to suggest a link to a contact's phone number and address so that someone could be called or a map could be evoked from within the app. Thanks for a great app!","21 people found this review helpful","tact","March 8, 2019","Hello ,I'm really glad you liked my app,
 about your note I'll take it in account, 
.thanks a lot for amazing feedback"
"https://play-lh.googleusercontent.com/a-/ACNPEu99sCGxaAcdN28SdkJnlEpphFXDWyEZGejYj7kt=s32-rw","Tina Roberts","Show review history","July 25, 2020","Glad I found this app! I use it mainly as a recurring bill pay reminder. Love that I can set a time with multiple snoozes, color code, add notes, and set a distinctive sound for each reminder. Just ""discovered "" the Voice option and Multiple Task reminder option, which will back up my post-it notes collection. The Quick Task is great for things that pop up during the day. The ads are a small price to pay for everything that you get with this app. Thanks!","29 people found this review helpful","tact","July 25, 2020","Hello Tina, really glad you liked my app, thank you so much for such delightful review. Such encouraging words keep me working hard to deliver the best. Happy organizing  :)"
"https://play-lh.googleusercontent.com/a/ALm5wu0qTaObSgWWIfQiK15Zf5Jp0Si16fQ7ZEzY6iYn=s32-rw-mo","C G","","December 1, 2021","The color-coordinated catagories are helpful to focus and not get overwhelmed with so many items. I haven't had success yet with the audio reminder sounds. They seem to get cut off after a chirp. Maybe there's a setting I need to change. Most of my list is set to a general ""no time"" or to a specific day and time with no alarm set.","5 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_fcvNlM2UuEtX60VTRymb1oORuN7FpHD6Javpk5oA=s32-rw","Robert Lewis","Show review history","July 13, 2020","This is the best reminder and ToDo app out of the many I have tried. Excellent user interface, never crashes. Highly recommended. Still using, best task manager available. Wish there was a paid mode to eliminate ads. But even with ads the best. Has check lists, syncs with Google tasks, has timer alerts colored tabs for grouping tasks. Should be renamed for more exposure to the Android market. Reset my phone and took a long time re-find and install but worth the effort.","40 people found this review helpful","tact","July 16, 2020","Hello Robert, really glad you liked my app, thank you so much for your great review.

Hello Robert, reading your kind words makes me working hard to deliver the best, I'm really glad you liked my app, thank you so much for such positive words and such great supporting, happy organizing :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu-ar-vt0jAIqxt0yA5BmK7sdPn8cQaNv2BBzDsvAg=s32-rw","Bari Boswell","Show review history","December 10, 2021","I'm getting comfortable with this now and liking it. I wanted an app with TO DO lists and obnoxious reminders. Other to-do lists or Google Calendar ding you once and if you miss that one ding, you're screwed. Unfortunately, when a reminder goes off, there is no SNOOZE or DISMISS option that pops up on your phone screen. You have to open the reminder and reset the time, reschedule it or check done. A hassle.","62 people found this review helpful","tact","August 1, 2020","Hello Bari, you can set a task snooze, but, the full-screen reminder option has been just added in the new version of this app, it'll be released soon. Thanks a lot for your feedback."
"https://play-lh.googleusercontent.com/a-/ACNPEu_VPbzZeVe0gt_Jo7a5bCc_moWCyeANmi1ToXPqrg=s32-rw","Xara D'Karn","Show review history","June 20, 2021","Decent app. Option to change the snooze duration is nice. But I refuse to let ads run in apps. Which is why I buy them. With no ad free option. I won't be using it.you could keep the ads but allow us to pay to remove. You can even do a month/ year. Subscription. Or a larger one time payment. I do understand that development is slow. And you are probably refining the app before wanting to charge. It's a tough business. As I'm trying to release my own app. Best of luck ;)","76 people found this review helpful","tact","June 20, 2021","Hello Xara, I'm working to add a paid version with no ads in the future, by the way, this app currently shows only small ads and doesn't show any pop-up ads. For more information about this app ads, please refere to the app privacy policy you can access it from the app settings under ""about us"" section. Thanks for your kind feedback."
"https://play-lh.googleusercontent.com/a-/ACNPEu_DvtFzDltSF5Ts4OQ-9hUTy8g1Vl_hve4wpCSImPU=s32-rw","Melanie Danielson (Mel)","","November 21, 2020","I had to do a complete reset of my phone. I have an older Android. So idk if this is why but because I couldn't find my old reminder app, I tried others. None worked or were what I needed. Due to a condition I have, I sometimes have memory issues. So I need a reliable app for my medication reminders. This one has been exactly what I want! It has worked perfectly from the start. And it's only been 2 days. The ones I tried didn't have a snooze. And this does. So thank you for a great app!","86 people found this review helpful","tact","November 22, 2020","Hello Melanie, you are welcome. Really glad you liked my app, thank you so much for your great support. Happy organizing :)"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","April 19, 2020","I like the features of choosing my own notification sounds for each reminder to customize it, like choosing the category and color customization, like I can repeat reminders, the ease of starting to use it without endless permissions, and the ease of setting new reminders. HOWEVER, I don't like that it doesn't pop up to SHOW the reminder, and you have to go into the app to choose done, THEN be careful to choose keep repeating-cumbersome 😒. If you can change this I can give 5 stars.","4 people found this review helpful","tact","April 19, 2020","Hello Kelly ,pop up reminder feature has been added on the new version of this app,it's now on beta and it'll be released soon,thanks a lot for such delightful feedback,and don’t hesitate to shoot us a note at tact.techno@gmail.com if you have any question."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","May 20, 2019","I switched from iPhone to Android and was looking for a good alternative to my fav reminder app, Alarmed. After much trial and error this came closest to what I was looking for, such as easy and clean interface (no fanciful colors/fonts) as well as ability to customize scheduled repeats (eg only Mon or Wed every week) and add notes. Nevertheless, there are improvements that I yearn for. Checkbox for ""Done"" is too small and easy to click wrongly, and postpone tasks function will be great!","15 people found this review helpful","tact","May 20, 2019","Hello Mollie,I'm really glad you liked my app,thanks a lot for great feedback,and I will take your notes in account,best regards."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","December 10, 2018","Love the ability to color coordinate and make separate lists but still see them all in chronological order. It's everything I'm looking for to keep me organized, has alarms and repeat capabilities. I only wish the widget had the checkboxes in the actual widget instead of me having to open the app to check it off my list. Overall very pleased!","42 people found this review helpful","tact","February 11, 2019","Hello,glad you liked this app ,
about your note i will take in account in future releases, 
Many thanks for the great rating."
"https://play-lh.googleusercontent.com/a/ALm5wu2MII9cE3nx-ajMbEFr9G4XTbrcWV6XWGNZiwFA=s32-rw-mo","Adrian Talbot","","August 26, 2020","Particularly like the repeat option which sets a repeat task when clicked as done. Alarm repeats also good as is the layout and colour options of the tasks. In fact love almost everything... but don't like the ads; though they aren't too intrusive, someflash different texts which is a bit off putting. I look forward to a paid (no ads) version.","31 people found this review helpful","tact","August 28, 2020","Hello Adrian, thank you so much for such delightful review. I'll add a paid version with no ads on future release.by the way app currently shows only small ads at screen bottom and doesn't show any pop-up ads .for more information about ads please read this app privacy policy you can access it from app settings under about us section."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","April 17, 2020","I love this app! Especially the fact that I can add it to my do not disturb permissions and it will still go off. Others that I have added do not go off. The only problem I'm having is occasionally one of my repeating tasks just disappears and I have to add it again. It doesn't happen a lot but it is annoying. Great job overall though.","37 people found this review helpful","tact","April 19, 2020","Hello Laurel,check battery optimization settings from your phone settings,make sure it's off for this app,and the ""automatic management for ALL"" option is set to no,alarming has been improved on the new version of this app.
I'll check repeat issue,Thanks a lot for such delightful feedback. It really helps us to keep going and delivering the best :)"
