"
  To-Do Adventure: Task Tracker","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a/ALm5wu1Mvg7A2aUJq_pbjkZyTedHhIQWeOoFTtRFmHx8=s32-rw-mo","Victoria Bage","September 7, 2022","Great app, not over complicated like others i have tried where you set every detail including the worth of the task. It is my todo list, but it looks cute and i earn a steady amount of rewards. I do feel more themes and purchasable items are needed, but i am sure they will come. Only reason for 4star is due to scheduling. It'd be nice to have the option to add a task as ""every 4 days"" or ""every other day"", etc. I have tasks only due every so many days, not on a specific day of the week.","5 people found this review helpful","Fourdesire","September 23, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9hSgfYxoRniK6DWk1lBBcNmcv3EE4s3zQVKCYtX20=s32-rw","Alannah Jaca","November 28, 2021","This app has SO much potential. This is my second time downloading it after uninstalling it for a while, and it has gotten better! I really like how productive it makes me feel, but there are still quite some bugs in it. I wish there was a feature where tasks organized themselves based on category because it is so annoying/difficult for me to hold-down a task and move it to a certain spot. Also, i wish there was a graphics setting because my phone heats up within just 5-10min of opening the app.","42 people found this review helpful","Fourdesire","September 23, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9dwBkdFw1O5hJMcqijujMG7u9UHk7wT8uns_03Iw=s32-rw","Angélica Godínez","March 29, 2021","I like this app. At the begging I thought it might not be good but I was wrong. It needs a lot of development like the vibrantion or other small details. But it's concept is useful, it helps me to compare my progress, it tells me how many task I've cancel more than previous plans and it shows me which categories I tend to declain more. The biggest inconvenient that I have is its schedule, because it's confusing, so I think it would be better to see a calendar by months, like most agendas show.","17 people found this review helpful","Fourdesire","September 23, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!",""
"https://play-lh.googleusercontent.com/a/ALm5wu0WUjJzQ5GpfW6duM8awxS5vluFI9neg16yceMP=s32-rw-mo","Wu Brant","March 20, 2022","Very neat to do tracker, visually pleasing, with sounds too. There are ads if you don't pay, but its fine since they need to make money somehow. Being able to access the calendar easily would be nice, at least when I want to get a big picture view it doesn't seem readily available to get a calendar view of things. More settings might be nice- like leaving more options always on (I'd like to reduce number of taps when I regularly want access to reminder, notes, etc).","20 people found this review helpful","Fourdesire","September 23, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_ox08uM9VEawuFebj53uq7w7vZ7wmxcp-3yLI4B9Y=s32-rw","Natalie Jordaan","February 3, 2022","The concept of this app is brilliant...it's really fun to see how my journey grows by building landmark and blocks every time I finished a task, but there are a few things I am not happy with. I don't always get task reminders. Once Review plan is done and create a new journey, all my occurrence tasks are gone. I'm so disappointed! I cannot start over again. So I decided to stop using this app. I would give 5 stars if those issues are fixed.","18 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_vznYdJfEUe2jik1IYi9KCvwxZNtTIjO55ua88T9g=s32-rw","HLS","September 30, 2021","Really like this app! I've been bouncing between ""to do"" apps for a long time, but this is the first one I've stuck with and really enjoyed. There are some bugs, and I wish there were a few more bells and whistles, but the app is relatively new so I figure it's a matter of time. Ive already collected all the themes, so I'm worried my motivation to log into this account may reduce after a while. Hopefully not, as the islands are very cute. But I hope there's lots more themes coming soon!","15 people found this review helpful","Fourdesire","September 23, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_SLwin1iMluzQJCfjiyACi6QSFKmGC77hV7prDhw=s32-rw","James","September 6, 2022","Can't skip annoying tutorial, tried to close and reopen hoping it would skip it but just took me back to beggining, pls make a skip tutorial button. Im just trying to use the app. Edit: tried to make an account to skip lengthy and unecessary tutorial, wont let me create account. Keeps saying password to weak. EDIT: really really unhelpful support, how am I meant to access the settings if i can't access anything? the tutorial locks up the whole screen, just make a skip option. it's not that hard","3 people found this review helpful","Fourdesire","September 6, 2022","Hi Adventurer, we're really sorry for the unpleasant experiences. As for the ""unable to create an account"" issue, please contact our Support Team at To-Do Adventure → Settings → FAQ → Contact Us and we'll get this checked soon. Thank you for your kind assistance. - Fourdesire Support","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8ukVhhzM6Xy0vDzbRE5f4eXPG0V6PLfJLzwU546g=s32-rw","Steven Jones","July 25, 2022","Great idea, but still has a lot of bugs. I can't complete basic functions on my phone such as adding a new category, or changing the due date to something other than today. There's just a number of UI bugs that make the experience difficult, even just a few minutes into using the app.","12 people found this review helpful","Fourdesire","August 2, 2022","Hi Adventurer, we're sorry for the unpleasant experiences. We have recorded your suggestions and feedback. Thanks again for sharing with us! Please contact our Support Team at To-Do Adventure → Settings → FAQ → Contact Us if any further assistance is required. Thanks! - Fourdesire Support",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9R5pFDR7wcqK5gJU4uuyNiv89VHXfZA2f0sc7FTw=s32-rw","Ella Bulatao","August 12, 2022","i love the format! its very satisfying for me, though i wish there were more themes, and the tasks set to 'someday' dont appear in the end of my to do list. additionally, id also like an option to adjust sound volume. sometimes, it doesnt save my recurring tasks n ends the plans abruptly, being quite buggy. I would also love if we could get a widget to easily tick off our to do list without waiting!","8 people found this review helpful","Fourdesire","September 23, 2022","Hi Adventurer, thanks for sharing! We are planning to add some user feedback to our App! If you are willing to do this, please fill in the form below: https://forms.gle/beY2ac9RMUrhk983A A bonus reward of “100 GoCoins” will be sent to you if your reply has been chosen! Let's encourage more people to join To-Do Adventure and improve daily habits!","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8LhGUBWmNpfKcujVr2Ka-jrVujcMksFPXmmRnjZ-k=s32-rw","Vitoria sa moreira","April 10, 2021","This app has a truly wonderful premise and it's a really fun gamification, but it has no system in place for when the user hasn't opened the app in a few weeks. It forces all plans/islands that would have happened in the meantime to conclude, filled entirely with ""unfinished task"" blocks, leaving piles upon piles of ugly streaks when it's not even your fault because you just hadn't opened the app. I really hope the team fixes this, until then I don't think this app will be of much help to me.","25 people found this review helpful","Fourdesire","September 7, 2021","Thank you for using To-Do Adventure, I'm your Island Assistant today. I understand the app isn't working properly and we apologize for that. The Island Development Team is working hard to get bugs fixed, please hang in there with us. Appreciate your patience and comment, thank you for sharing :)",""
