"
  Todoist: to-do list & planner ","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a/ALm5wu15SJ57A827Nhikf-xpGPyES3JErG6kZ5Wn5a_FHg=s32-rw-mo","Nathan Saldanha","October 20, 2022","Todoist has been my go-to app for keeping a track of my tasks. What makes it my favorite is the way you can just type ""buy bread tomorrow"" and it automatically sets the reminder for tomorrow, rather than you having to manually set the date. The only issue I have is that when my Samsung phone goes into power saver mode, and then comes out of it, the Todoist widget doesn't load. I thought it would be fixed with updates, but it's never resolved. Hence one less star.","9 people found this review helpful","Doist Inc.","October 21, 2022","Hi Nathan! Thanks for your review! We really appreciate it 🤗
Regarding the power saver mode, we will check with our developers. Please submit a ticket here https://todoist.com/contact so we can get in touch. Thank you 🙏",""
"https://play-lh.googleusercontent.com/a/ALm5wu1loKE-JYDf1h3UvZTmkQNo3ua67sg2asDJXJHz=s32-rw-mo","S Mishra","June 14, 2022","I was delighted by this app. Hence, i went for the premium subscription. There are two things i request the developers to look into. 1. There must be a proper notification. Better if we get some kind of alarm kind of notification. Right now, the notification feature is not that effective. 2. I have done integration with the Google Calendar. But if you put a task on a particular date and time, it is added in the calendar as an one hour task by default. Later, i go to the calendar to change it","32 people found this review helpful","Doist Inc.","June 16, 2022","Hello, You can set a custom event duration from Todoist on a task by task basis by typing something like [80m] into the task name. When you save the task, “[80m]” will be removed from the task name and a new Google Calendar event will be created with a duration of 1 hour and 20 minutes!",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","February 21, 2020","Looking at the features and lots of accolades I tried uninstalled after just a trial. Reason: In the free version notification feature is missing. If the task misses the set time, there is no notification. We will come to know only if we open the app. Insanely Ridiculous. Not sure what have the product team thought while excluding such a basic feature.","143 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8EDLtTlLeMRpyV6dSXR9RTh2H4WsBHr3lA3ppfFg=s32-rw","Suleiman","July 30, 2021","It is a great app, but it has some drawbacks. It would be great if there was a PROPER inbuilt calendar where I can see all the past, present & future tasks both completed & incomplete, it would be truly great & would help me in organising & tracking stuff. The complete task sound effect is horrible, consider adding more options. And taking users to ""today"" tab every time is not a great idea, I would recommend ""inbox"" tab instead. It shows more things & not everyone adds a date to tasks","41 people found this review helpful","Doist Inc.","July 30, 2021","Thank you for the feedback!

> And taking users to ""today"" tab every time is not a great idea, I would recommend ""inbox"" tab instead.

For this, you can change your home view (default start page) - https://todoist.com/help/articles/change-your-home-view",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-WrCLrXpZOMEfIC8CSGC1SE3CJzLBDKT6zezt7UQ=s32-rw","Maanasi Hattangadi","May 8, 2020","I tried all calendar and tasks apps to organise my lists before finalising Todoist! Todoist manages to assign subtasks and is flexible with way you schedule them. The interface is just right for engagement and it is available for all modes - web/browser, windows and android which worked amazingly well for me for now. Hope the app design doesn't change much. Kudos!","5 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8g1PMB3OcsO2hP16Q4lFrRQ1ZvwOOxkIlf_MKk5w=s32-rw","Shammas Kavi","December 3, 2020","Everything is just *chef's kiss* you people'always try to keep the app up to date and perfect almost all the times. I'm an advocate of this app. I would further more appreciate it, if you would give a better experience for android tablet, the web app is perfect, its just that the application doesn't takes use of the more screen real estate in a tablet it looks like a stretched version of mobile app If you could etter optimize it for tablets to give the that todoist experience they get on web app","8 people found this review helpful","Doist Inc.","December 7, 2020","Hi, We've forwarded your feedback to our developers. Thank you for taking out the time to send us your suggestions!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-RFwu4ox_t04yyBX4pCzHSidCVCWO1BpPL8V5AVQ=s32-rw","Trisha Therese","November 20, 2022","I love the depth of customization in this app! I can do so much in it! I love it so much! Thank you for creating this. I only have one suggestion and that is to view completed task in each labels/filters in that day, week, or month. The current completed tasks shows it each day and it can be messy. It would be lovely to see them categorized. For example, the label is ""gratitude"" it would be nice to see the achieved tasks there which indirectly tells me to be grateful for.","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1oeXH4YPkWaUtFpGBvda-y3Ton_sIwXJUha-jo=s32-rw-mo","Andrew Kirkegaard","November 17, 2022","This is my dream personal planning app. I love the design, it looks and feels great to use. It's simple and intuitive but also very powerful. There any plenty of ways to group tasks, and the filters are very powerful for viewing them however you want. And it's fully featured. It has collaboration, a great widget, and integrations with a lot of other apps, including Google Assistant.","5 people found this review helpful","Doist Inc.","November 18, 2022","Hello! Thank you so much for sharing your experience! We really appreciate it 🤗",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9vxhFuV9DvynLdF4W6MJZKE3_SKaFb62uLlVj6Aw=s32-rw","Aashni Shah","November 17, 2022","It was working before and now things have moved around and I have to figure out how to use the app again... Productivity apps aren't supposed to slow you down! I preferred the hamburger menu being a swipe in from the left, it didn't take up space at the bottom of the screen before. Also had to uninstall and reinstall because GCal sync wasn't working and the whole app just showed a spinning circle.","10 people found this review helpful","Doist Inc.","November 18, 2022","Hello! We are sorry to hear that. We would like to have a deeper look into this issue. Please send us a message at https://todoist.com/contact so we can get in touch. Thank you 🙏","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu0dw_8NCElnEsp9qafiQrr0lEjf0bEDABjbncqyH2E=s32-rw-mo","Orrin Jones Jr (OJ)","November 16, 2022","The reminders are pointless. I updated for the reminders but they are nothing but a notification. I have 100 notifications coming in daily from other apps and service. I'm not paying attention to which app sends them. I just clear them with the clear all buttom. I thought reminders would require you to acknowledge them before it dismisses like an alarm. A Fullscreen experience so I don't miss the notification. I downgraded because of this. Upgrade how reminders work to include what I just said.","14 people found this review helpful","Doist Inc.","November 18, 2022","Hello! Thank you so much for your review and feedback!
If you have any other feature request, please share them with us at https://todoist.com/contact. Thank you 🙏",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9h2J1tYyi-YmL7gZ1EJ5WBXaYBVv7CW_vh9DFC=s32-rw","brandon gatto","September 23, 2022","It's a fine task manager app, a little bit hard to get at first with the weird natural language based task creation, but if you're willing to put in the effort it's pretty intuitive. The one big deal breaker for me is that if you have a daily recurring task it becomes overdue at midnight. If you tap it complete after midnight, it completes it for the next day which ends up with you missing a day unless you remember to do it on your own or manually set the next recurrence to today.","39 people found this review helpful","Doist Inc.","September 26, 2022","Hi Brandon! Thanks for your review and we appreciate your feedback 🙏 It has been noted 👍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-UqQI0aNhttcEMWpcafN78TC-Q7Plu_koYVNBR8A=s32-rw","Carbon X","August 29, 2022","It's an incredible app. Has become an everyday essential. However I would like the option to always show completed tasks so I can keep track of progress instead of having to show every time you open the app. Also a very basic feature like reminders require pro which is not fair. Other than that it's a perfect 5 star!","21 people found this review helpful","Doist Inc.","September 1, 2022","Thank you so much for your feedback! We have shared them with our team ✅",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9-PXD6ougU0lULBNuHdT6BKq1PI4rJyyo3HlY5k8U=s32-rw","Justyn Costa","November 5, 2022","I really like the structure of the app. I was looking for something that would reinforce deadlines and having the widget on my homescreen, and the fact that it doesnt get rid of overdue assignments helps me so much. Edit: the suggestion helped! Thank you!! [the widget didn't update the day / what is due today unless I open the app or the widget settings]","3 people found this review helpful","Doist Inc.","November 7, 2022","Hello Justyn! Thank you so much for your review and feedback 🤗","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9kfq6K-cs4QzaPgoE00qJjgW2XGk6lB_25zrxBdw=s32-rw","Gedas Keturakis","September 6, 2022","EDIT: Changing to 5 stars, turns out you can set up gCalendar sync, you just have to do it via the web client. Original review: brilliant app, very customizable and also can be synced with other devices and has a browser extension. my only gripe is that it desperately needs calendar integration so you could sync events with your Google calendar. besides that, amazing app.","11 people found this review helpful","Doist Inc.","September 8, 2022","Thanks for the 5 stars, Gedas 🙌 We really appreciate it 🤗","Show review history"
