"
  Tusk: task and habit manager","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu8BcIJXuyPDiVLMLVACid9STL-r0Ho_D8guaM2yQg=s32-rw","Subhranil Bhunia","Show review history","June 1, 2022","Why does every to do list have to have one feature missing? This time it is the ability to set a duration of an event/ task. Except this everything is present. Gorgeous UI, lots of different option while creating tasks. And above all it offers an one time payment option(as far as I remember) which is the deal sealer for me. If only this had option to set start and ending time of event. Oh well! Edit:I'll definitely wait when u add the feature.","16 people found this review helpful","ULSoft","June 3, 2022","Thank you for your feedback! ☺️🤗🤗 At the moment you can do the following: When editing a task go to Timer and Duration if you need to set up duration for the task. You can also set a date when your task will finish, please find section Finish at the end of the page. For more information please contact us at support@tusk.best"
"https://play-lh.googleusercontent.com/a-/ACNPEu_ENEJOeH0aNyYufHMK6BtLwEWmbHuPcK4THECdRw=s32-rw","Ankita Chandra","","May 25, 2022","Absolutely perfect todo app with all the necessary flexibilities and customization available at the free version. But I have one recommendation, if it's possible to make different tab for habits excluding the other recurring tasks, it would be more clear and functional. Keeping habits and other recurring tasks at the same place sometimes seems overwhelming when you check on what habits you need to perform that day.","7 people found this review helpful","ULSoft","May 26, 2022","Thank you for your feedback! We highly appreciate it! 🤗 We've added your recommendation to our list of suggestions. At the moment you can use hashtags and create your own Today's list so it can help categorize your tasks."
"https://play-lh.googleusercontent.com/a-/ACNPEu-MFnVEw4V_2-Y_B8-KPOBqAJLlrNhy_AI5u3KUPw=s32-rw","Pratap KumarS","Show review history","June 7, 2021","This app is an absolute delight to user with an user friendly interface and clean functions. Really helpful and all but only thing I wanted to point out is please try and make the scheduling process a bit less complex and simplify the date, day and time selection. Other than that this is absolutely perfect and I would recommend this.","7 people found this review helpful","ULSoft","June 8, 2021","Thanks a lot for your feedback, Pratap. We will try to make using the application even easier. Finding the line between application flexibility (with a lot of options and settings) and simplicity can sometimes be tricky."
"https://play-lh.googleusercontent.com/a-/ACNPEu_yX7FvWcfBSC3yYdezHJ3Ogz3wmazuTCDoKbQpew=s32-rw","Kashif Faraz","","June 19, 2021","Really like the app! Very friendly interface. Just feel the need for a couple of minor things. In quick create, I would love be able to choose a date. In stats page, being able to see the stats for a particular tag would be wonderful! Thanks a lot, please keep building!!","24 people found this review helpful","ULSoft","June 20, 2021","Thank you very much for your feedback! Yes, we will update the statistics in future versions."
"https://play-lh.googleusercontent.com/a-/ACNPEu8ghzE0tBmSHLLu-y1yQSvjf2SgmvJ0pgK27ZWFHA=s32-rw","Iulia","","November 2, 2022","It's one of the best task management apps I've come across. I like how it has multiple settings to customize my own experience and has a really nice and cute interface. The reason why I give it 4 stars instead of 5 is because it doesn't have much sound. For eaxmple, when I complete a task I would have liked to hear a satisfying ""cleeng"" sound not just a turning page sound that plays for every kind of status change. The same could be said for achievements.","4 people found this review helpful","ULSoft","November 3, 2022","Thank you so much for your feedback! 🤗🤗 We added your idea to our list of suggestion! Thank you for being with us! ;)))"
"https://play-lh.googleusercontent.com/a-/ACNPEu8Zqf3OdojUPPpjFBX0X8cvsy8SnxqWBNZovOxDRQ=s32-rw","Linnéa Sara Jenner","Show review history","September 9, 2022","Great functionality. In addition to the regular recurring task settings such as daily, weekly, yearly and every so many days, weeks etc you've got floating due dates. This is fantastic because let's face it no schedule is ever the same every week and sometimes you just gotta do things at some point during the week or so. Also if a task does have a fixed day of the week for example it's really easy to reschedule a single instance to another day.","1 person found this review helpful","ULSoft","September 8, 2022","Thank you for your feedback, Linnéa Sara Jenner! 🤗 We are doing our best to make our users happy and pleased! Stay with us ;)))"
"https://play-lh.googleusercontent.com/a-/ACNPEu_kqSf7viBGywRRlBl1yebH9cHlgZbOROnvTfYD=s32-rw","Ina Cezar","","October 19, 2022","I finally found the task app that fits my habit and task management style. I love using the app. But I would really like if these features could come the app 1. A place where I could put task I need to do but have yet to schedule. 2. Another view option of the calendar where I could see my current week, as I really work better when I could see my whole week.","3 people found this review helpful","ULSoft","October 20, 2022","Thank you for your feedback! 🤗 We highly appreciate it! We've added your suggestions to our list of recommendations."
"https://play-lh.googleusercontent.com/a-/ACNPEu8BPyh9f7rwkUJ8-JnM1nwv4fdXaiB_KMsYcm3b=s32-rw","PS V","","November 8, 2022","I'v been trying the free version for a month now. I really like it. I have problems being consistent with app and that is why I haven't tried the premium service. However I do plan with in the next 2 weeks to try the premium for one month two see how it goes. I'll update my review once I've done the month of premium.","2 people found this review helpful","ULSoft","November 9, 2022","Thank you for your feedback! 🤗🤗 If you need assistance please contact us at support@tusk.best Enjoy using Tusk!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_jhipRMXMZFYdew6BCxQw2rpnpdnzikWbRRBc8vQ=s32-rw","Maddie P","","October 10, 2022","One of my favorite schedule/task apps. You can do so much with each task, including different date and time settings, subtasks are my favorite feature. And love the vacation option. I went from free to paid this year and I'm satisfied. App would be even better if I could access my schedule on my smart watch. Please make the app accessible.","16 people found this review helpful","ULSoft","October 10, 2022","Thank you for your feedback, Maddie! 🤗 We are currently working on a new and improved version of Tusk. It will have new functionality, it will become faster, and there will also be a web version. The release of the new version will take place this year. We are also add Tusk for smart watch in the future."
"https://play-lh.googleusercontent.com/a-/ACNPEu-cFfk19glm99h42KuMzM7i1t9S0cVtaPQqqfCyFt4=s32-rw","Ellen Duchene","","September 20, 2022","We loved, loved this app BUT now it's a disaster. I cannot delete tasks, everything is WICKED slow, it reorganizes your repeated tasks to be either completely out of order or suddenly all your completed tasks show up at the top. We're also trying to just be logged into one account but it refuses to let me log onto my husband's account on my phone. Almost EVERY other task app lets you be logged into an account on multiple phones. We are now going to cancel our subscriptions. SO DISAPPOINTED!!","1 person found this review helpful","ULSoft","September 20, 2022","Thank you for your feedback, Ellen! 🤗 We are sorry for such an experience with Tusk. We are gladly help you if you contact us at support@tusk.best We are currently working on a new and improved version of Tusk. It will have new functionality, it will become faster, and there will also be a web version."
