"
  Vi: Recharge, Music, Games, TV","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu_Rk-_rGXygS_uu7VxowEj-JxFkpg_4uYP7e4g5Nw=s32-rw","Shreyansh Yadav","October 17, 2022","I have been using vodafone since years and it was a great experience but from the last week the internet does not work even when the network bar shows full. Since last week the network suddenly stops working suddenly even with full network and only works for seconds when i turn on/off the airplane mode. The app is very glictchy and does not work all the time. Its very frustrating to see this type of network working in this bad way. I did not expect this.","2,316 people found this review helpful","Vodafone Idea Ltd.","October 18, 2022","Hi! We regret the inconvenience caused. Please send us your concerns with your Vi number at Social.ViAppCare@vodafoneidea.com. We will try to get it resolved as earliest - Team Vi",""
"https://play-lh.googleusercontent.com/a/ALm5wu238H4ZXhVnzS1W8lFXFFc5o62_3wg7-5bSmKYN=s32-rw-mo","Mrinal Routh","September 12, 2022","I have been using vodafone since years and it was a great experience but from the last week the internet does not work even when the network bar shows full . Since last week the network suddenly stops working suddenly even with full network and only works for seconds when i turn on/off the airplane mode . The app is very glictchy and does not work all the time . Its very frustrating to see this type of network working in this bad way . I did not expect this .","5,308 people found this review helpful","Vodafone Idea Ltd.","September 13, 2022","Hi! We regret the inconvenience caused. Please send us your concerns with your Vi number at Social.ViAppCare@vodafoneidea.com. We will try to get it resolved at earliest - Team Vi",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-7Wu3Z8zL1zMhml5fAZKvTUkGQCFmCK3m8aM85Xw=s32-rw","srijeet","November 11, 2022","The app experience has improved overall, but there is always scope for improvments in ux, slow response from touch on any action which needs to improved. I am rating this 4 star as of now coz these improvements will make the app more user-friendly. Talking about the network , satisfied with the internet speeds but the coverage indoor is very poor as it keeps fluctuating and dropping. Please try to improve the coverage as it will help to retain customers. Edit: the app has improved a lot. Great!","658 people found this review helpful","Vodafone Idea Ltd.","August 12, 2022","Hi! Thank you for sharing your feedback. We are happy to know that you liked this app - Team Vi","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu3g2hWvR2zgjwbgYU8iL8lOB4yb3cAW1V8-c00D=s32-rw-mo","Radhey Sharma","August 30, 2022","I was using Vodaphone from last 1 years and it was good experience. But from last 3 days I am not able to use internet, it shows full Signals but still it says no internet. I have raised so many complaints regarding this issue but VI team is not taking the issue seriously. They are closing the tickets without resolving the issue. I have sent emails as well but VI team is not able to resolve the issue. I think VI company bad time has come, they are not able to provide good service to customers.","2,552 people found this review helpful","Vodafone Idea Ltd.","September 1, 2022","Hi, We regret the inconvenience caused. Please write us with your exact location where you are facing network issue. Moreover, email us your concerns with your Vi number at Social.ViAppCare@vodafoneidea.com. We will get back to you shortly - Team Vi","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2kzxlbyMunf3SIjLZqKhMAlXD3FqFMZnOOVABN=s32-rw-mo","shruti sethi","August 30, 2022","Worst app to exist on the face of earth. Absolutely useless as I can't recharge through it. I have reinstalled many a times but it only shows notifications. I wish i could take away the 1 star as well. Edit:- Cannot login with the new app. Trying to get OTP since two months. It says it has been sent but I never get it. Lord knows where they send it. Emailed the problem to their cc but no reply from them since TWO MONTHS. Kudos to the vi customer care! The verdict prevails, WORST APP AND NETWORK.","269 people found this review helpful","Vodafone Idea Ltd.","July 14, 2022","Hi! We regret the inconvenience caused. Please send us your concerns with your Vi number at Social.ViAppCare@vodafoneidea.com. We will try to get it resolved at earliest - Team Vi","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9nCL43LlL6RIbETqD4asUqxwclnoQR14qUB91a=s32-rw","Kiran Jadhav","September 6, 2022","Very poor experience,by the service providers as well as the app. I have been one the oldest customers. Even with full range I'm not able to use my net, poor connectivity, also the app has a lot of bugs. It doesn't display the net pack data available and the app gets stuck on the open page animation itself. Very poor service by Vodafone.","742 people found this review helpful","Vodafone Idea Ltd.","September 7, 2022","Hi, We are sorry for the inconvenience. Request you to clear the app cache memory and then try to launch the app. Sometimes the cache memory in your device prevents the app's smooth functioning. If you are still facing the issues, please mail us at Social.ViAppCare@vodafoneidea.com with your mobile number, We will get back to you shortly - Team Vi",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","August 13, 2022","I don't even know why they offer an app in the first place. It is a trauma to use it in any way. First up, it would take forever to load, if it loads at all. In the rare event it does, like 3 times in 90, the details are mostly missing with the irresponsible response of unfelt sorry, unable to laod, try later. Which is later forever. Deleting its data, un- and reinstalling, restarting the device, resetting the network—practically nothing works unless they want it to work once in a blue moon.","5,926 people found this review helpful","Vodafone Idea Ltd.","August 13, 2022","Hi! Sorry about that!! But we have released a new version of the app for a better experience. Kindly update your app or reinstall it, you won't face this difficulty - Team Vi","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-wDoo2bVv8jXTTh2VwmBS_yFFzWTpIPHt3ihYi0A=s32-rw","Nikita Shinde","September 11, 2022","The service was poor not only by application but also in general. I tried to contact them so many times but only system generated mail received. They never called and asked what exactly the issue is. So many times happened this. Even on the application they always have technical issues whenever tried to chat with executives or raise a complaint. The application is useless. They always had network issue and still have it. Very very disappointed by the service.","214 people found this review helpful","Vodafone Idea Ltd.","September 12, 2022","Hi! We apologize for any unintended inconvenience caused to you, and thank you for your patience. Let's look into it immediately. Please send us your number and details of the issue to Social.ViAppCare@vodafoneidea.com, and we will revert you as soon as possible - Team Vi",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_WbtYhRy1E68cy5wFCCdTLAPe-_sepfEBXQEHa=s32-rw","Rohith hariharan","August 1, 2022","It was working well before a few days... Now when I try to login into Vi app, the app says OTP has been sent yet I was not able to recieve it. This kept on happening like more than 10 times and I have contacted the customer care but they even had no clue about this issue. They kept on repeating the same instruction which were of no use. I must also admit that the network is good and it offers me sufficient performance. The Vi app is what irritates me a lot.","660 people found this review helpful","Vodafone Idea Ltd.","August 1, 2022","Hi! We regret the inconvenience caused. Please send us your concerns with your Vi number at Social.ViAppCare@vodafoneidea.com. We will try to get it resolved at earliest - Team Vi",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9Qs_liMFm1a_HDdxO6NmsJ_J-4MyEqQXoMoavkEQ=s32-rw","Pravin Kudve","July 10, 2022","The internet connection is worst. Using the internet indoor is frustrating. I am having a net of 820 mb left but still it doesn't stop buffering. Even if it shows 4G on the screen but it actually functions like a 2G. The network signal is also not completely filled. Tried to lodge a complaint in the Vi app more than 5 times, it doesn't even get submitted. Porting is the only option left with.","4,717 people found this review helpful","Vodafone Idea Ltd.","July 11, 2022","Hi! We regret the inconvenience caused. Please email us your concerns with your Vi number at Viapp.care@vodafoneidea.com. We will get back to you shortly - Team Vi","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8i_4cKw4-JJ6fGvBx59wOHpBmubKV_l48ktAJukw=s32-rw","Mohd Junaid","July 8, 2022","Worst experience . It takes lot of time for the user interface to load and doesn't show the actual data balance available . The network is although not too good and the usually fluctuates from 4g to 2g . The customer care service is also not so good and cannot fix any problems faced by us . If this is the thing that is going on then we have to switch to other networks like Airtel and Jio .","2,231 people found this review helpful","Vodafone Idea Ltd.","July 8, 2022","Hi! We regret the inconvenience caused. Please email us your concerns with your Vi number at Viapp.care@vodafoneidea.com. We will get back to you shortly - Team Vi",""
"https://play-lh.googleusercontent.com/a/ALm5wu20AHRZ5VeculTdcHNcFSixT21mIBuZ08WFTHJ6=s32-rw-mo","Saroj Sharma","August 7, 2022","It is the worst when it comes to registring a complaint, I had a network issue for which I tried registering a complaint via app, where the is trying to troubleshoot it, it show unable to connect to network, next I wanted to raise a complaint then it shows the map, where you have to select the address, there also I am unable to select, somehow I passed that then the submit button for the form does not work. It is really frustrating. Now I am sure and I am definately porting the number.","562 people found this review helpful","Vodafone Idea Ltd.","August 9, 2022","Hi! We regret the inconvenience caused. Please send us your concerns with your Vi number at Social.ViAppCare@vodafoneidea.com. We will try to get it resolved at earliest - Team Vi",""
"https://play-lh.googleusercontent.com/a/ALm5wu0uNHNRLQMDhvpRoSeo3WUlLQxDrc90bfNiK1wP=s32-rw-mo","Ohad Gov","November 20, 2022","This company is just horrible. It is expensive and I don't know if this is a company, branch or regulation but from all the people I talked to it is for sure the worst. If you are in India and considering to use a mobile phone use airtel or jio or stay without a phone than joining this company. The price I paid for 2 lines is much more than the price anyone else I have ever heared paid with being at least 4 times more expansive and the coverage is not the best. You have been warned!","","Vodafone Idea Ltd.","November 20, 2022","Hi. That's not how we want you to feel. This hike is in line with the recent changes in the market offers and is aimed at providing a better experience to valuable customers like you - Team Vi",""
