"
  Walli - 4K Wallpapers","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","October 11, 2018","It's a wonderful thought of creating this app. Hats off you guys. Bringing all the designers from around the world into one place. I found many creative designs, illustrations and photos from this. The quality of the image is so good. The one flaw that i found is there is no search option, couldn't type the keywords and filter it easily. Could you please fix it. Overall it's a best app to get creative images.","321 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8AVmv4zbzzdkmXyalgyHN0pezhpa7YzGhylRzUJ1c=s32-rw","Shruty Murthy","","May 23, 2020","I absolutely love the app... It's not only a treasure trove of amazing wallpapers but is also a platform for artists to portray their works and express themselves. You can have any number of wallpapers in your playlist, you just will have to watch an ad after 10, or you could upgrade. Honestly, I don't find the ads that annoying because they're pretty short. And the artwork is really stunning. It's like an Instagram for wallpapers (you can like photos and follow your favourite artists).","257 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8F_DKbNTK62KMAhP4IWvxciQ5ql8bzd2ay44EIow=s32-rw","Sukamal Dash","","November 2, 2021","In a word, awesome! I purchased the premium right away. Fell in love with the collections! Lots of artists are there, their artworks are sooo damn good! I just can't express how much lucky I am to found this gold. Some improvements are needed in terms of functionality like, 1. Multiple playlists, 2. Rather than removing artworks from playlist 1 by 1, I wish there's an option for selecting multiple files, 3. Frequency can be brought down to seconds like 30 secs.","178 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","June 12, 2019","I really like the app especially due to its playlist feature, but still I would have liked to have: 1. More of natural pictures. Here most of the wallpapers are created by artists and natural photographs of scenic beauty are very few. 2. I could upload my own collection to playlist. ( While adding them to playlist there should be an option for proper cropping so that wallpapers do not get stretched).","14 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9GJIdEkGvBEtAjjx2uwZi7Fv_7X-131RQ5njJz=s32-rw","Rektify Gaming","","May 10, 2021","This is an amazing app. It solves a problem I didn't know that I had, that was looking at the same wallpaper everyday. The playlist feature is by far the most unique and useful feature I've seen on any app. The ability to have multiple playlists and add one's own images onto their playlists from the device gallery would settle it as a 5-star experience. Love what you're doing, keep it up👍","3 people found this review helpful","Tap-Mobile","June 8, 2021","Hi, Rektify Gaming. Thank you for your kind words about our app. We work hard to deliver a great app, and are happy to receive positive feedback! We hope you continue being a loyal user. Please reach out with any suggestions. If you love the app, please consider changing your rating to 5 stars. Thanks, -Anne."
"https://play-lh.googleusercontent.com/a-/ACNPEu_kSLy7I64ipZankXPlSdZwXJnUGzrJ-VvtDgfmqDo=s32-rw","Gaurav Singh","","August 6, 2020","Walli is by far the best wallpaper app, just certain features can be added to make the experience a whole lot better. 1. Please add an option or category where I could find all the artworks from all the artists I am following together. Right now I could only visit their profiles to get it but it if all the followed artist's artworks are available at a single place in any sequence it would be great. 2. I so wish to find pitch black dark mode being available. It would make the experience superb.","3 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","April 29, 2019","To be honest, this app is not THE BEST wallpaper app. But surely, have some additional perks and features. Like the quality of wallpapers is amazing but you have to he selective. And also the live wallpaper play is glitchy but good! The main downside is that the wallpapers are downloaded fully for preview. No thumbnail view which is slowing the app on low connectivity. Rather the app is amazing!! 🔥","3 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_X028kXD7VAhJwmP0vy2UpOTK5X1DfOxxcB1IkYf4=s32-rw","Ayush Banerjee","","May 24, 2021","Hi I was trying to download few wallpapers from the walli app. I was using the fee version of the app. But unfortunately, the wallpapers didn't get downloaded. I tried it again by closing and reopening the app. But things did not work out. Kindly look into it. After many attempts to download, I finally uninstalled the app. I have written an email also, but I don't know why, I started receiving random emails, of those issues which I never encountered. Like payment issues, like app crash etc","6 people found this review helpful","Tap-Mobile","June 15, 2021","Hi, Ayush. Sorry to hear you are disappointed with the app. We welcome you to send more detailed feedback to support@tap.pm, as we are continuously working to improve and greatly value customer feedback. Thanks, -Anne"
"https://play-lh.googleusercontent.com/a-/ACNPEu-3bukfRWziI8UWJ4OxQRJybT-4WmxWQX2jyHmhMGE=s32-rw","Anurag Sharma","","September 29, 2021","Love the app. I have a suggestion for UX, being a premium user who loves the playlist feature. Please either keep the 3 dots in a more reachable location like above the artist image, or add a button for quickly adding an artwork to a playlist. Right now it's 2-step process and it's a bit uncomfortable to reach the top right corner of the phone screen. 5 star when this problem is solved.","90 people found this review helpful","Tap-Mobile","September 30, 2021","Hi, Anurag. Thank you for your rating and kind words about our app. We work hard to deliver a great app experience, and are happy to receive feedback like this! We hope you continue being a loyal user and please reach out with any suggestions. If you love the app, please consider changing your rating to 5 stars. Thanks, -Anne"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","November 26, 2018","This app is amazing so far. It's understandable and very cool. To elaborate, what it does is if you like a particular photo then converts and previews it as a wallpaper that is normal. But what it does is it gives you two options such as which way you'd like to download it the optimised or the complete one . Which is cool and haven't seen it before in other apps. So kudos Shanga. Loved the app.","7 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_b9_8qvZFnKq3NiJlbO7kquHwd5-2MZYZdPHdclA=s32-rw","Atharva Kaduskar","Show review history","October 29, 2020","Best wallpaper app I've ever used. It has beautiful, high quality wallpapers which you can download to your phone gallery (which many apps won't allow) and can use even after deleting the app. The app also supports dark mode. The number of wallpapers if large enough, but there is not much variety in the categories.So, I didn't get the wallpaper that I was looking for, but I am impressed with what I got.","4 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","June 19, 2019","This is one of the best wallpaper apps out there and I love the playlist feature too...can you add the selection of a particular image in a playlist, play in order or shuffle play just like music controls. That would complete the playlist feature for me... [Note: There's a bug as the playlist images automatically fails to cycle in the given time interval]","9 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0oOFoBviYDEaOV5JFldHpKn1mc72MMcVjyXAfG=s32-rw-mo","Varman Rajasekaran","","September 9, 2020","Just pick the wallpapers that you like, and they take turns being your wallpaper, with a custom interval before switching. There's also a pause option if you like to freeze a wallpaper for as long as you like. It's as simple and clear and satisfying as that. Glad I found this app!! Neat work guys. Could improve the collection a little though.","2 people found this review helpful","","",""
