"
  WaterDo:To Do List & Schedule","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu9heMqmN_tSGf3psC1yvkmPgX3Eb7BFtZuUGtOerg=s32-rw","299 Sakshi kallakuri","January 12, 2022","Love the overall interface of the app. Planning on buying the subscription. Would love if more features are added like a pending or today's tasks widget on my phone screen without opening the app, also a place to write your notes or shopping lists would also be great.. (in unscheduled tasks we need to click the task and then it shows the list... Instead if it had a better interface that would make it better.)","44 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8YQdn2lVXoXSZNYl1FHUwwI9-XQFoblb5zros0=s32-rw","Joanna","September 25, 2022","I normally love this app, so the fact I have to write this review is very frustrating! It seems like since the last update, 1/2 of my tasks aren't being counted as completed once I ""pop"" them as done. I'll have to make a couple fake tasks and pop them until one of them counts. I don't know why the app is doing this. I've restarted my phone, cleared the app's cache, and redownloaded the app, but nothing has changed. It's frustrating to have an app I love so much lose one of it's best parts!","15 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2rSAYBBgiKZpgA4eMEkB79ge4O3IaFfMr9AGvc=s32-rw-mo","Nadine E.","October 6, 2022","I have just started to use the app and it seems very cool, I like how it is customizable but still has this fun effect and with ""achievments"". What I would like to see is an "" as soon as possible option"" and the sooner you do it the more points you get and perhaps also to be able to see the unscheduled tasks as water balls as well (perhaps you could swipe left to see those bit default view is the current day). Cause many things do not have a harsh deadline (or none) and I want to pop those too.","2 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_JNrxwlIZg3S_WdvlNM6nKGpXmelXbIic46-Tcqg=s32-rw","Constella Espj","September 14, 2022","I love this app. I have a hard time managing tasks, and WaterDo makes it easier and rewarding. I love the sense of adventure and upgrading the islands. I appreciate that I can make my own tags (though I kind of wish I had categories also) and the color scheme is so soothing. It's just a really beautiful and sweet app, like a nice friend who gently nudges me to do things I've listed. Popping the bubbles is VERY satisfying.","4 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-NjzznzCqKL3fpBcCgZrLh7cH7hQluVeZoriCx8A=s32-rw","Dee W","September 10, 2022","WOW!!! This app has evolved a TON. I am in love with the stats page!! I'm also super impressed with desktop mode. I can hardly wait to see stats on Desktop too. I get so much done with this app. It really does help keep you focused on ONE task while encourage and motivate you to get others things done too. Unlike other To-do apps out there, WaterDo gamify this for you so you look forward to getting things done. 💯 Team: Let's work on location reminders and attachment to notes now. 😇","12 people found this review helpful","Show review history","Seekrtech","November 16, 2021","Hi,
thank you so much for your suggestions! We will relay them to our team. Have a good day. :)"
"https://play-lh.googleusercontent.com/a/ALm5wu0ygaPeR8JJpTXsgd175wEUP9NN-n42_9Zl79yYlg=s32-rw-mo","Rachel Kaelin","August 31, 2022","The positive feedback works wonders for me. Love popping bubbles and opening chests and watching the islands grow. My favorite feature is the unscheduled task bar, where i can pick from a collection of To-Dos. Other to-do lists don't have a place for unscheduled events like this, and i appreciate it.","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_oE5JdG1EgTFw0ABW7ekv3dqb7Bei55va2rBhXZt4=s32-rw","Gabriel","November 6, 2022","The best todo list app ever. Introduces a new form of checking your tasks with a realist and healthy approach when it comes to rewards. The vibe of the app is cozy and welcoming, so you really feel like doing your tasks but not with an addictive necessity, but just a normal and chill impulse. Congrats to the app team!","","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9z1NpkkF5sVfFKa0S9oQgKzpY0s24Opl1H1Nv-yg=s32-rw","Emma Kate","November 15, 2022","As someone with ADHD, WaterDo is the first to do list app that has actually worked for me in YEARS! I don't normally pay for apps, but after a really busy week with the free trial, I was sold. It's fun and light and makes me WANT to add tasks and think about my day ahead as well as return to check on my list. So glad I clicked over to this from the Forest app! Thanks, team.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8IB65hwYZDdioZs4lRFd8qhFcGy8kA1cg-2mx-pA8=s32-rw","Yashovardhan Pareek","September 19, 2022","It's a great concept and a stable app but needs 2 main features : 1. The ability to prioritise all the tasks compared to just one high priority task currently available. 2. The ability to sync these tasks with Google Calendar. The price can be justified if active development is promised. I'm seriously considering buying the app.","","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-xPtk7-nUEHWQkCFblnDwRznoxarAKTERfDQ6Wvgg=s32-rw","Tynan Black","November 16, 2022","I dislike how it has you set up an account before you can find any where about how much a membership is ($1 a month, or $15 for lifetime). On top of that, I had to dig thru reviews to find out anyways because the app doesn't work for me. I only get a hamburger menu and white screens. I uninstalled.","","Show review history","Seekrtech","November 21, 2022","Hi, thank you for the feedback. We would like to remind you that you can find further information about the subscription plan on our app store page before you downloaded WaterDo. If you have any questions or suggestions, feel free to contact us at waterdo.support@seekrtech.com. We are more than glad to assist you! :)"
