"
  WhatsApp Wallpaper","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a/ALm5wu1CGSiex48XkaGIkOpTBV-qWwoxu9JKHKX1tD3I=s32-rw-mo","Anant Kaur","October 22, 2020","Many people say that of we want to apply some wallpaper even after downloading it several times it shows try again but this problem didn't happen with me instead I'll say that this is an amazing app. But I'll not give it 5 stars as this app doesn't support so many options for wallpaper and it was farther beyond from what I imagined in this app. I hope that you can add add some more options for wallpapers. Plus, this app has so many bright wallpapers that I really don't like at all. Thank you😊","17,928 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu88rLc_0DubW579uuV78jt_g3G296R_9iCZhHwH=s32-rw","Gabriel Azevedo","August 24, 2020","No problems so far. I've read that many people couldn't apply the wallpaper, but I just downloaded and applied it without any hiccups. Just won't hit 5 stars because they really have a very small amount of options and didn't even bother adding an option to either get more from your gallery or downloading from the internet. Still, that can be achieved straight from WhatsApp itself, so not really much of a problem.","18,688 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu1jhFJvX-5J1jcTYTsrvPAm3BgFr2WvKXl-Fx38=s32-rw-mo","Andrei Iaz","July 5, 2020","How can someone cause so many problems to such a simple app. You had ONE job. 1. It doesn't let you test emojis or stickers, just that default message; 2. There are only a few backgrounds, without the possibility of adding more, from your gallery; 3. There are no settings or ways to adjust those backgrounds, like lighting or quality.","11,661 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_qhNwDcUN9NXy2dub-nprCPRYJZ4S-cVFsXnr2=s32-rw","Nikunja Kishore Behera","October 20, 2020","When you create a group then you can search for different types of photos an and add it as dp whatsapp provides the option. But I don't get it when I set my own profile picture. Neither I can do it in the case of wallpapers . Please fix it. I'm very much disappointed. This app didn't help me either. I can't set my wallpaper . It says can't download the wallpaper try again. I tried many times and different wallpapers. But something is wrong it says ""try again""every time. Please fix it 😟😞....","7,824 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","July 10, 2019","Backgrounds are visually distracting, especially when conversations include images. My preference is a solid colour for the background. There are only a few backgrounds to choose from, so it's slim picking. The app was easy to download and apply.","883 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9L5tyfrHUZT-EdO7NYZmHaWeb-FcmOsC07SBBZ=s32-rw","Haru Sakura","January 21, 2021","Just to put it.. don't download the app. The preview is all it is, 10 or less wallpapers to use that are super basic. I'd recommend using the custom wallpaper feature instead as this is just a no go. The app is never gonna update it's never been and well, if you download it, you just waste space. I guess like most review say it just isn't it. Anywho, 10/10 would never install again. (Still don't know why people put 5 stars but write that it's bad just straight up put 1 since you don't like it.)","7,033 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","June 19, 2019","It is just okay. My kind request to the team to add as many wallpapers and categories as much as possible. it would be advantageous to all the people. More creative wallpapers and creativity can be given Space. I think it is still unexplored area for WhatsApp Team Group.","1,047 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_xX9mW6y9OLVur0MX44KxDBJYtkS-wwSyge5sQyw=s32-rw","Erik Gabriel","November 12, 2020","I don't know why anyone still downloads this, honestly. Have any of you seen the last time this was updated? 2011... Almost a decade ago. Use the default solid colors built in, or use your own wallpapers that fit your display resolution.","721 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu2xOuCySN_ErgllKNDzz7RDMEGQoPyfXsN039Vs1w=s32-rw-mo","Suresh bingi (Suri)","December 3, 2020","Worest app i have never used. After completion of downloading, when ever you want to change the wall paper it shows like it couldn't done. Please try again. It shows like this so many time when ever we want to change the wall paper","759 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 2, 2019","This thing contains roughtly 30 wallpapers. No option to add more. None that really offer more than a windows XP background. Thoroughly underwhelming. And looking through the comments and 5* ratings I now belive they have somehow cheated the stats. This app is as close to useless as they come and its being praised like its a bank of 100s of images, decent images, that are updated. What use is a comment and rating system if this is the result? I give up.","2,255 people found this review helpful","Show review history"
