"
  Wide Launcher","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu-pKD0snTiEZ1al-n1VpWRuVhng-3LVknjlwx8Dnw=s32-rw","Harsh Vats","October 14, 2020","The interface is absolutely amazing. Best part is that there is unrestricted customization. But one thing is missing that I am a Samsung Galaxy user and I am unable to use my android 10 navigation gesture. I suggest you and the team to kindly work on fixing this issue and provide a stable update with working navigation gesture. It would be a great help. Other than that everything is great and I think that this is the best launcher I have experienced on the play store at this time. Thank you.","298 people found this review helpful","Shouter Inc.","October 15, 2020","Hello. Thank you for the review. We are currently reviewing the issue, and we will make improvements as soon as possible. Before that, I recommend using the navigation bar with buttons.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-7YyywrdNgRfHVpOWncfiAB55FSzGoc3rJ5sdbgg=s32-rw","kumar swapnil","March 15, 2022","5 stars for the amazing concept, most of the things work well! A few things need improvement. For now, when I tick lock home screen, I expect nothing to move. Things are still moving. I was able to move an app icon from the dock into a folder in a palette. Also I would recommend to make the hold action on home screen customisable. Currently I can only see it selected as Main Menu. Thank you guys for the amazing launcher! Great job!","386 people found this review helpful","Shouter Inc.","March 16, 2022","Hello. Thank you for the review. I will forward your feedback to our team.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_u6OXZqv-odGIzPNpSMOo5VZwBrCMoY70pF2kttAY=s32-rw","abhiram aditya","February 18, 2022","It's a whole new concept for a launcher. Wonderful app. Must to try. It might be a bit odd in the beginning considering the complete revamp of the functionality but you will get a hang of it very soon. Few improvements needed wrt functionalities like resizing of icons in launcher, grid arrangement on home pages, possibility of adding more home pages. Some cues can be taken from nova launcher.","375 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_Sjq4SrsoiARae6ILC8zU4XWErBfBE_xAE_7koDA=s32-rw","Lemmy Imsong","May 15, 2021","So far experience has been great. One thing though bothers me - when we place individual apps or folders (unless it's in a palette group) on the homescreen, the name/label of that app disappears. Wish there was an option to hide/unhide it. Also font support and ability to change the colour of the font and colour of app labels would be great.","45 people found this review helpful","Shouter Inc.","May 17, 2021","Hello. Thank you for the review and your feedback. I will forward it to our team.","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu0ferfYfqaN1nvQ3eA7QW5HmiVDR2nyxqXbyKKC=s32-rw-mo","Varsha Vembadi","August 26, 2020","It's no doubt an extraordinary app. I completely love the way we can constumise and control our home pages and apps but sadly the really irritating thing is it stuck times. It does not show any wallpaper after a restart or switch off and the recent pics shown right side once opened isn't at all closing. Please do check it out. 💖🤗","16 people found this review helpful","Shouter Inc.","August 27, 2020","Hello. Thank you for the review, and sorry for the inconvenience. I will forward your feedback to our team.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-wFN88eX_KCoBAIG2dQdohOHdAjfuBmjaVep6xWEk=s32-rw","Vivek Mahato","August 25, 2020","Great, innovative and wonderful but not so stable, it lags many times, sometimes wallpaper automatically removed in replace, a black coloured background appeared. While editing things on screen bottom horizontal bar (including wallpaper, frames, ocean, etc) hindered the editing. All the best Team, keep it up!","1 person found this review helpful","Shouter Inc.","August 26, 2020","Hello. Thank you for the review.  I will forward your feedback to our team.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9mUCaJRfjH4f309DtKdeQ1kS8vrAMClwGN0T-Z=s32-rw","Bhargavi Rathod","November 3, 2020","I loved this launcher. The only reason I didn't give it a 5 start is because it doesn't stay on my screen for long. I tried setting it as a default screen but still it returned back on it's original homescreen.. But overall this app is amazing, something different and the best part of it is ""it is free"" with no ads. Keep it up.","2 people found this review helpful","Shouter Inc.","November 19, 2020","Hello. Thank you for the review. Can you check the following steps to set Wide Launcher as the default home? [System settings] - [Apps] or [App Management] - [Default apps] - [Home app] or [Homescreen] - Select Wide Launcher from the app list",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-fTrryhlyB6Mbc7nZRAnn4qViY4tIqmX8JRiip8w=s32-rw","Aangnen Pongener","June 30, 2021","Wide launcher is the lost love I've found after so many years Its an experience like never before with clean interface, amazing themes and lite to the core. Like someone mentioned, ""we aren't exaggerating"". This is beyond the well, the frogs have leaped. Kudos to the team. P.s. Once upon a time there used to be an app called Buzz launcher then out of the bloom, it disappeared somehow from the play Store. Few peeps tried it again but in vain it was never the same. Wide Launcher is the saviour.","45 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2ODRWOZl6c202EVEM9itLu3_JJ3g114gA8N0s=s32-rw-mo","Bryce Glisson","September 12, 2022","Yay! Back to 5 stars! Seems it's a compatibility w Google photos that was the issue. I know this only because the developer responded to my issue almost immediately. What's more is when initiating email correspondence w developer I was consistently and promptly responded to. Which I appreciate and it is a value that I respect in a business. Your suggestion to use another gallery instead worked If you can fix the compatibility issue so I can start using it w Google photos again it's be awesome!","5 people found this review helpful","Shouter Inc.","August 29, 2022","Hello. Thank you for the review. Please write to us at widelauncher@shouter.com, and I will be happy to answer your questions in detail.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-0Um1BamhXHtHkMkuWM6ojW6aphqXPmt22qxkIMg=s32-rw","Ananya Rath","November 4, 2022","To be honest, the best launcher i have ever used. It's smooth, easy to access, no ads which means it doesn't annoy you. Also it's so easy to customise and you can literally customise each and everything in this launcher. It gives your phone a very cool easy look wish alot of wallpapers and backgrounds. I'm truly amazed by using this app. Truly the best one.","7 people found this review helpful","","","",""
