"
  YourHour - ScreenTime Control","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","October 12, 2018","It's very wonderful app and does the work what it says. Everything is working perfectly. But , I am having a little problem. The widget is not updating on real-time. Do fix it for me please. It's a very handy app😇 Edit - 12/10- The problem has been fixed. The new design is very satisfying. It looks good and pleasant. One thing is a little annoying though - usage/30 minutes- in that graph, we can't actually say how much time we have spent on that 30 minutes. It's because of that scaling system being used. Do have a look over it. It will be great, if the scaling is a little bit more data reflecting. I hope it's not asking a lot☺️","28 people found this review helpful","Mindefy Labs","October 17, 2018","Thanks for the updated feedback Ansuman!

We are delighted to hear that you liked the new version of the app, we will try to figure out if we can make any changes to the said graph.

Keep Detoxing!

- Team Mind-e-fy"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","July 25, 2019","This app is already helping me in just a few days. I have a couple of suggestions though. 1. The timer should only be shown in the apps we choose and not all of them. Also, remember position of the timer. Current default position is drawn over the menu button for some apps. 2. The block is too sudden if you are in middle of something. Make it fade to black or something for last 5 minutes as a warning or add a countdown timer.","33 people found this review helpful","Mindefy Labs","July 26, 2019","Hi, 
We've forwarded your feedback to our developers. Thank you for taking out the time to send us your suggestions!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","December 5, 2019","The new update is really very good. Appreciate it. The major problem arrives while creating challenges. I am unable to create more than one challenge. Everytime while creating second challenge, the app automatically brings me out of the challenge and it's not created. Please look into the matter asap. I take the challenges very seriously and it really helps me to avoid the phone 😊","8 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_guJwQ39x4BhvA1p50AYmCqrVieKbS8HkaRPZm2g=s32-rw","Alekha Bhatt","","December 1, 2020","This app is very useful. It has really helped me track and reduce my phone usage. Only issue I have seen recently is that it stops monitoring abruptly. It doesn't show the time bubble on apps and doesn't warn if I am overusing. I have to explicitly open the app and then it starts tracking again. It would definitely be worth 5 stars if this bug is fixed. :)","106 people found this review helpful","Mindefy Labs","September 16, 2022","Hi User, Please put the app auto start mode on "" ON"" and also Switch on the sticky notification.
If it did not get solved please write to us at contact@mind-e-fy.com so that we can help you better. We look forward to your email."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","February 23, 2020","Excellent interface and usability. Lets you know just how long you've been using each app without getting too in your face. Even the free version feels really good to use, without ads getting in your face during use, and with the app serving its purpose. Go for the pro mode only if you need detailed breakdown of how you use your phone over a period of days or weeks.","45 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","November 29, 2019","Wonderful app. A clock keeps ticking for every app used, showing the amount of time spent on that particular app. It has features to lock a particular app after the alloted time for the app expires. I think that's wonderful! And it really helps with mobile addiction. Also daily, weekly and monthly reports help keep track of the progress.","","Mindefy Labs","November 29, 2019","Dear User, we are happy to know that you found our app useful. Please help us by spreading the word amongst your friends. If you have any feedback or suggestions, please write to us at admin.yourhour@mind-e-fy.com. We would love to hear from you!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","February 24, 2019","The best thing about this app is that it is not intrusive at all.Keep it up in future also. It does what it says without interfering or annoying for any reason. I get the required details in the notification and the specific app only without even opening the application in weeks. That's what I like about it. The timer in all the apps is the best. I can easily place it anywhere that too easily and it doesn't even open the app which is good. All in all its good until it starts becoming intrusive.","","Mindefy Labs","February 25, 2019","Thanks for your positive feedback Monil, being not intrusive to our users and provide them with seamless experience during their deaddiction journey is our motto since the beginning.

At Mindefy labs, We are committed to making YourHour App even more amazing and useful for you.

Keep Detoxing Well!

- Team Mind-e-fy"
"https://play-lh.googleusercontent.com/a/ALm5wu2TftOv0CE1039uDTIPYUm0lyfTp2-_WtfajlD_=s32-rw-mo","Fatima Nauseen","Show review history","March 24, 2022","The app is really good. The only one part where I wish you would change is that instead of negative quotes which are shown on addiction level and on the notification . Please change it to something positive. Users will feel motivated to not use phone but when I receive this negative quotes sliding I feel like I'm not doing well and should probably give up and delete the app. A slight change might help. Overall it's a very good app and helps me to keep myself away from my phone","131 people found this review helpful","Mindefy Labs","April 10, 2022","Dear User, really appreciate your suggestion. We will consider it and improve our app in the new version. If you have questions or suggestions please contact us at admin.yourhour@mind-e-fy.com."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","December 23, 2018","A great app. Really helped me out. On the day I installed it, my usage was about 9 hours. Within a week, my usage was down to about a couple of hours. And is still declining. Just the issue with the unlock counter, sometimes I just want to check the time, and since my phone has face unlock, it unlocks, and that is counted in, if only there was a work around for that. please put in the feature to remove one particular entry. sometimes an app just runs in the background and it tracks it too.","39 people found this review helpful","Mindefy Labs","November 26, 2018","Thanks for your positive feedback Shubhang !

We are happy that YourHour app is helping you to cut down on phone addiction.

At Mindefy labs, We are committed to making YourHour App even more amazing and useful for you.

Keep Detoxing Well!

- Team Mind-e-fy"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","December 10, 2018","The app holds great promise but it has a few issues. 1. The widget that shows up on the home screen doesn't update basis my usage. It shows the duration and unlock counts only if I open the app. 2. The time occasionally appears in minutes rather than HR and mins format which becomes difficult to read 3. User interface is quite crude and can be improved significantly.","28 people found this review helpful","Mindefy Labs","December 11, 2018","Thanks for your feedback Abhijit!

We will take your suggestion and will try to improve YourHour App even more amazing and useful for you.

Keep Detoxing Well!

- Team Mind-e-fy"
